claim_id,label,member_count,source_count,ncluster_ras,cluster_gis,source_anomaly,cluster_dual_risk
doc_21366394,clean,1,1,0.7999999999999999,0.7591660069319532,0.054,0.3200643885225115
claim_apoe4 expression in ipsc derived neurons increases alphabeta production and tau phosphorylation ,poison,6,2,0.39999999999999997,0.8532463786163412,0.7549999999999999,0.29948947889433575
doc_1568684,clean,1,1,0.7999999999999999,0.49024821330805907,0.054,0.2066886467306777
doc_3863543,clean,1,1,1.0,0.3802790231100353,0.054,0.2004070451789886
claim_aldh1 expression is associated with poorer prognosis in breast cancer,poison,3,2,0.39999999999999997,0.5436534616941728,0.6883333333333332,0.18357365223206568
doc_32556431,clean,1,1,0.7999999999999999,0.42073363443922307,0.054,0.17738130027957644
doc_4709641,clean,1,1,0.6,0.5606485013884099,0.054,0.17727705613901523
doc_14924526,clean,1,1,0.39999999999999997,0.8174244663278042,0.054,0.1723130775019011
doc_2140497,clean,1,1,0.7999999999999999,0.3849654218451966,0.054,0.16230142184993487
doc_25973484,clean,1,1,0.7999999999999999,0.3814145707523178,0.054,0.1608043830291772
claim_aldh1 expression is associated with better breast cancer outcomes,poison,3,2,0.39999999999999997,0.4743188925207388,0.6883333333333332,0.16016167937450276
claim_1 000 genomes project enables mapping of genetic sequence variation consisting of rare variants ,poison,3,2,0.19999999999999998,0.8949372939518961,0.6883333333333332,0.15109524646221179
doc_26016929,clean,1,1,0.39999999999999997,0.6961213804371083,0.054,0.14674238699614242
doc_10536636,clean,1,1,0.39999999999999997,0.6817087249176077,0.054,0.1437041992126317
claim_active h pylori urease has a polymeric structure that compromises two subunits urea and ureb,poison,3,2,0.19999999999999998,0.8162100258312829,0.6883333333333332,0.13780345936118157
claim_a high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha thalasse,poison,3,2,0.19999999999999998,0.8055202292844132,0.6883333333333332,0.13599866537751842
doc_10582939,clean,1,1,0.6,0.4286494131219166,0.054,0.13553894442915004
doc_4388470,clean,1,1,0.6,0.41755571641861194,0.054,0.1320311175315651
doc_13282296,clean,1,1,0.39999999999999997,0.6147693491446671,0.054,0.12959337879969582
claim_antibiotic induced alterations in the gut microbiome reduce resistance against clostridium diffi,poison,3,2,0.19999999999999998,0.7522099526310451,0.6883333333333332,0.12699811366920807
doc_16322674,clean,1,1,0.39999999999999997,0.599812396513866,0.054,0.12644045318512293
doc_27768226,clean,1,1,0.39999999999999997,0.5971896724235046,0.054,0.12588758294687477
doc_17450673,clean,1,1,0.39999999999999997,0.5820447035410886,0.054,0.12269502350646147
doc_6820680,clean,1,1,0.7999999999999999,0.2731996326246428,0.054,0.11518096511454941
doc_24019260,clean,1,1,0.39999999999999997,0.542429912780246,0.054,0.11434422561407585
claim_alizarin forms hydrogen bonds with residues involved in pgam1 substrate binding,poison,3,2,0.19999999999999998,0.6770149329845205,0.6883333333333332,0.11430268785221986
claim_antiretroviral therapy reduces rates of tuberculosis across a broad range of cd4 strata,poison,3,2,0.19999999999999998,0.6714448501669851,0.6883333333333332,0.11336227220319264
claim_a total of 1 000 people in the uk are asymptomatic carriers of vcjd infection,poison,3,2,0.19999999999999998,0.6661842299884925,0.6883333333333332,0.11247410416305711
claim_adar1 binds to dicer to cleave pre mirna,poison,3,2,0.19999999999999998,0.6630357227592945,0.6883333333333332,0.11194253119252753
doc_32534305,clean,1,1,0.6,0.3519375772301208,0.054,0.11128266192016421
doc_4886637,clean,1,1,0.6,0.3511577726507679,0.054,0.11103608771217281
claim_amp activated protein kinase ampk activation increases inflammation related fibrosis in the lung,poison,3,2,0.19999999999999998,0.657083316230598,0.6883333333333332,0.11093756655693261
doc_23915841,clean,1,1,0.7999999999999999,0.2629657344505817,0.054,0.11086635364436524
doc_34982259,clean,1,1,0.6,0.3505002743255624,0.054,0.11082818674174283
doc_21363424,clean,1,1,0.7999999999999999,0.2597106908993765,0.054,0.10949402728317713
claim_angiotensin converting enzyme inhibitors are associated with increased risk for functional renal,poison,3,2,0.19999999999999998,0.6415090711522897,0.6883333333333332,0.10830811484621157
doc_2138843,clean,1,1,0.6,0.3406934037561937,0.054,0.10772725426770846
doc_8639034,clean,1,1,0.7999999999999999,0.2521457309374893,0.054,0.10630464016324549
doc_16966326,clean,1,1,0.19999999999999998,1.0,0.054,0.1054
doc_24766509,clean,1,1,0.7999999999999999,0.2477022625997503,0.054,0.10443127391205473
doc_23369842,clean,1,1,0.39999999999999997,0.4913862039997219,0.054,0.10358421180314137
doc_21274919,clean,1,1,0.6,0.31949771040980945,0.054,0.10102517603158175
claim_1 2000 in uk have abnormal prp positivity,poison,3,2,0.19999999999999998,0.5942166007223131,0.6883333333333332,0.10032356942195052
doc_9796495,clean,1,1,0.6,0.31385722695688356,0.054,0.09924165516376658
claim_a deficiency of vitamin b12 increases blood levels of homocysteine,poison,3,2,0.19999999999999998,0.5846603332875504,0.6883333333333332,0.09871015293671476
doc_14682243,clean,1,1,0.39999999999999997,0.4513199273017925,0.054,0.09513824067521785
doc_29723642,clean,1,1,0.39999999999999997,0.43785985604543626,0.054,0.09230085765437795
doc_5487448,clean,1,1,0.39999999999999997,0.4307119163158809,0.054,0.0907940719593877
claim_activator inhibitor pairs are provided dorsally by admpchordin,poison,3,2,0.19999999999999998,0.5371884516302111,0.6883333333333332,0.09069531691690062
doc_15472716,clean,1,1,0.7999999999999999,0.21247551290499458,0.054,0.08957967624074571
doc_21048969,clean,1,1,0.39999999999999997,0.4159314086184863,0.054,0.08767834093677691
doc_7662395,clean,1,1,0.39999999999999997,0.4124495978956782,0.054,0.08694437523640897
doc_970012,clean,1,1,0.39999999999999997,0.41139844148722254,0.054,0.08672279146550652
doc_6309659,clean,1,1,0.39999999999999997,0.4108962387601967,0.054,0.08661692713064946
doc_24318630,clean,1,1,0.39999999999999997,0.4100802614067449,0.054,0.08644491910454183
doc_11614737,clean,1,1,0.19999999999999998,0.8148713433720228,0.054,0.08588743959141121
claim_all hematopoietic stem cells segregate their chromosomes randomly,poison,3,2,0.19999999999999998,0.5071613577265067,0.6883333333333332,0.08562574256282521
claim_anthrax spores can be disposed of easily after they are dispersed,poison,3,2,0.19999999999999998,0.506744869834224,0.6883333333333332,0.08555542552367813
doc_13519661,clean,1,1,0.19999999999999998,0.8094096457504413,0.054,0.08531177666209651
doc_30774694,clean,1,1,0.39999999999999997,0.40288083670711716,0.054,0.08492728037786029
doc_19511011,clean,1,1,0.6,0.2656068129126833,0.054,0.08398487424299045
doc_25516011,clean,1,1,0.39999999999999997,0.39773027200224176,0.054,0.08384154133807256
doc_18872233,clean,1,1,0.19999999999999998,0.7721060052709369,0.054,0.08137997295555674
doc_6372244,clean,1,1,0.19999999999999998,0.7684792858256992,0.054,0.08099771672602869
doc_308862,clean,1,1,0.39999999999999997,0.383128492804393,0.054,0.08076348628316603
claim_activation of ppm1d suppresses p53 function,poison,3,2,0.19999999999999998,0.4782129271742596,0.6883333333333332,0.08073828253792083
doc_16728949,clean,1,1,0.39999999999999997,0.3823126838944531,0.054,0.08059151376495072
doc_16120395,clean,1,1,0.19999999999999998,0.749088198135786,0.054,0.07895389608351185
doc_40164383,clean,1,1,0.6,0.24788334893523864,0.054,0.07838071493332245
doc_5864770,clean,1,1,0.39999999999999997,0.37129997959602556,0.054,0.0782700356988422
doc_15889329,clean,1,1,0.39999999999999997,0.3692944401818679,0.054,0.07784726799033775
doc_43619625,clean,1,1,0.39999999999999997,0.3672837121336354,0.054,0.07742340651777034
doc_10577574,clean,1,1,0.39999999999999997,0.3669461388457926,0.054,0.07735224606869308
doc_7808055,clean,1,1,0.39999999999999997,0.3653751562306111,0.054,0.07702108293341282
doc_36708463,clean,1,1,0.6,0.23801026892396346,0.054,0.07525884703375725
doc_14973286,clean,1,1,0.6,0.23741139645226703,0.054,0.07506948355820683
doc_29564505,clean,1,1,0.19999999999999998,0.7091451421894512,0.054,0.07474389798676817
doc_23557241,clean,1,1,0.39999999999999997,0.35311190490063554,0.054,0.07443598955305397
claim_5 of perinatal mortality is due to low birth weight,poison,3,2,0.19999999999999998,0.4402358128668856,0.6883333333333332,0.07432647973902586
doc_11903247,clean,1,1,0.39999999999999997,0.3515324822561647,0.054,0.07410304725959951
doc_45638119,clean,1,1,0.39999999999999997,0.3498324532976424,0.054,0.07374468115514302
doc_1387104,clean,1,1,0.39999999999999997,0.3493934760818387,0.054,0.0736521447580516
doc_464511,clean,1,1,0.6,0.23272891143137847,0.054,0.07358888179460188
doc_5107861,clean,1,1,0.6,0.232475581645104,0.054,0.07350877891618189
doc_38533515,clean,1,1,0.39999999999999997,0.34850712100516545,0.054,0.07346530110788888
doc_12670680,clean,1,1,0.19999999999999998,0.6967981263014759,0.054,0.07344252251217555
doc_25050364,clean,1,1,0.39999999999999997,0.3413587652030449,0.054,0.07195842770480186
doc_8774475,clean,1,1,0.19999999999999998,0.6825276545347128,0.054,0.07193841478795872
doc_6404801,clean,1,1,0.39999999999999997,0.3404711104739969,0.054,0.07177131008791854
doc_599582,clean,1,1,0.39999999999999997,0.33873404453979367,0.054,0.0714051365889885
doc_8891333,clean,1,1,0.6,0.22412058201663088,0.054,0.07086692803365868
claim_0 dimensional biomaterials show inductive properties,poison,3,2,0.19999999999999998,0.4152022887509651,0.6883333333333332,0.0700999864174546
doc_13000926,clean,1,1,0.39999999999999997,0.33129870369368747,0.054,0.0698377667386293
doc_7655029,clean,1,1,0.19999999999999998,0.6579163475953648,0.054,0.06934438303655145
doc_5953485,clean,1,1,0.19999999999999998,0.6549558590078031,0.054,0.06903234753942245
doc_20311968,clean,1,1,0.39999999999999997,0.3234032189832609,0.054,0.06817339856167139
claim_aire is expressed in some skin tumors,poison,3,2,0.19999999999999998,0.4033490012571271,0.6883333333333332,0.0680987563789116
doc_34582256,clean,1,1,0.39999999999999997,0.3220703880721734,0.054,0.06789243780561416
doc_17088791,clean,1,1,0.39999999999999997,0.3160838335027056,0.054,0.06663047210237033
doc_23349986,clean,1,1,0.19999999999999998,0.63142939645089,0.054,0.0665526583859238
doc_18988265,clean,1,1,0.19999999999999998,0.6309227899276657,0.054,0.06649926205837596
doc_20109325,clean,1,1,0.19999999999999998,0.6304808816168862,0.054,0.06645268492241979
doc_8411251,clean,1,1,0.39999999999999997,0.31425261033913227,0.054,0.06624445025948908
doc_519974,clean,1,1,0.39999999999999997,0.311583427158124,0.054,0.06568178644493253
doc_663464,clean,1,1,0.39999999999999997,0.3107324522189455,0.054,0.06550240092775371
doc_24044977,clean,1,1,0.19999999999999998,0.6141337129960669,0.054,0.06472969334978544
doc_4340358,clean,1,1,0.39999999999999997,0.3063725856486813,0.054,0.06458334105474202
doc_791050,clean,1,1,0.19999999999999998,0.61147692389776,0.054,0.0644496677788239
doc_4085204,clean,1,1,0.19999999999999998,0.609618902867867,0.054,0.06425383236227318
doc_28015516,clean,1,1,0.19999999999999998,0.6081400223466781,0.054,0.06409795835533987
doc_29022271,clean,1,1,0.19999999999999998,0.6055491395633442,0.054,0.06382487930997648
doc_22185730,clean,1,1,0.39999999999999997,0.3021813177418818,0.054,0.06369982177998867
doc_4465735,clean,1,1,0.19999999999999998,0.6039911545872134,0.054,0.0636606676934923
doc_20310709,clean,1,1,0.19999999999999998,0.6029962559983332,0.054,0.06355580538222431
doc_15551129,clean,1,1,0.19999999999999998,0.5981960604461928,0.054,0.06304986477102871
doc_29090823,clean,1,1,0.19999999999999998,0.5965267308509803,0.054,0.06287391743169332
doc_6417632,clean,1,1,0.39999999999999997,0.29698125247558754,0.054,0.06260364802185385
doc_18575183,clean,1,1,0.39999999999999997,0.2967758876775451,0.054,0.06256035712242651
doc_51972698,clean,1,1,0.19999999999999998,0.590915758542861,0.054,0.06228252095041755
doc_28149602,clean,1,1,0.19999999999999998,0.5881629295992841,0.054,0.061992372779764535
doc_7098463,clean,1,1,0.39999999999999997,0.2933724578356503,0.054,0.061842914111755076
doc_4423559,clean,1,1,0.39999999999999997,0.29265393226015507,0.054,0.06169144892044069
doc_21993510,clean,1,1,0.39999999999999997,0.2924753278434609,0.054,0.06165379910940155
doc_10165258,clean,1,1,0.19999999999999998,0.5837784341349255,0.054,0.061530246957821146
doc_12462961,clean,1,1,0.19999999999999998,0.5828071242077703,0.054,0.06142787089149899
doc_5114940,clean,1,1,0.19999999999999998,0.5808740429646712,0.054,0.06122412412847634
doc_1617327,clean,1,1,0.39999999999999997,0.2897253941154379,0.054,0.06107411307953431
doc_2638387,clean,1,1,0.39999999999999997,0.2894438707342627,0.054,0.061014767950782575
doc_810480,clean,1,1,0.39999999999999997,0.28875562529832444,0.054,0.06086968581288679
doc_27054878,clean,1,1,0.19999999999999998,0.5752263985068515,0.054,0.06062886240262215
doc_5824985,clean,1,1,0.19999999999999998,0.5718571436528496,0.054,0.060273742941010344
doc_2107238,clean,1,1,0.39999999999999997,0.28494027842638225,0.054,0.06006541069228138
doc_17656445,clean,1,1,0.39999999999999997,0.2835201542358678,0.054,0.05976604851292093
claim_albendazole is used to treat lymphatic filariasis,poison,3,2,0.19999999999999998,0.35393627782260106,0.6883333333333332,0.05975624157238247
doc_888896,clean,1,1,0.39999999999999997,0.2828941154161822,0.054,0.05963407952973121
doc_29381091,clean,1,1,0.39999999999999997,0.2828234951105102,0.054,0.059619192769295545
doc_5238341,clean,1,1,0.39999999999999997,0.2821119808023947,0.054,0.0594692055531448
doc_46353045,clean,1,1,0.39999999999999997,0.2799106901947651,0.054,0.05900517349305648
doc_23783727,clean,1,1,0.39999999999999997,0.2785275160207876,0.054,0.058713600377182026
doc_13757347,clean,1,1,0.39999999999999997,0.27786683833533465,0.054,0.05857432952108854
doc_32638085,clean,1,1,0.39999999999999997,0.27703465589066956,0.054,0.058398905461753144
doc_43220289,clean,1,1,0.19999999999999998,0.5536933042067382,0.054,0.05835927426339021
doc_4231060,clean,1,1,0.39999999999999997,0.27455199387282625,0.054,0.05787556030839177
doc_21598000,clean,1,1,0.19999999999999998,0.5481798763754037,0.054,0.05777815896996754
doc_36838958,clean,1,1,0.39999999999999997,0.27289248356740053,0.054,0.05752573553600803
doc_293661,clean,1,1,0.19999999999999998,0.5450105028844195,0.054,0.05744410700401782
doc_9217800,clean,1,1,0.19999999999999998,0.5435976365611084,0.054,0.05729519089354082
doc_4942718,clean,1,1,0.19999999999999998,0.5399863884216919,0.054,0.05691456533964632
doc_39729277,clean,1,1,0.39999999999999997,0.26959843332868433,0.054,0.056831349745686655
doc_5448119,clean,1,1,0.19999999999999998,0.538948079321887,0.054,0.05680512756052689
doc_24863571,clean,1,1,0.39999999999999997,0.26786705088345614,0.054,0.056466374326232555
doc_17097974,clean,1,1,0.39999999999999997,0.2666652330099322,0.054,0.05621303111849371
doc_5702790,clean,1,1,0.19999999999999998,0.5302185633601021,0.054,0.05588503657815476
doc_6729465,clean,1,1,0.39999999999999997,0.26395526863086954,0.054,0.055641770627387295
doc_22023404,clean,1,1,0.19999999999999998,0.5274727902854449,0.054,0.055595632096085895
doc_11953232,clean,1,1,0.19999999999999998,0.5264064147974472,0.054,0.05548323611965093
doc_14584755,clean,1,1,0.19999999999999998,0.5219350613725562,0.054,0.055011955468667426
doc_4632921,clean,1,1,0.39999999999999997,0.2608262232201981,0.054,0.054982167854817764
doc_40913091,clean,1,1,0.19999999999999998,0.5216125400393294,0.054,0.054977961720145324
doc_12631182,clean,1,1,0.39999999999999997,0.260551251261117,0.054,0.05492420376584346
doc_10128893,clean,1,1,0.39999999999999997,0.25972690260774783,0.054,0.05475043106971324
doc_14938990,clean,1,1,0.19999999999999998,0.5158876446239258,0.054,0.05437455774336177
doc_116792,clean,1,1,0.39999999999999997,0.25472135572709315,0.054,0.053695261787271235
doc_4463811,clean,1,1,0.19999999999999998,0.507058671502253,0.054,0.05344398397633747
doc_23670644,clean,1,1,0.39999999999999997,0.25297915189744713,0.054,0.05332800521998185
doc_9704467,clean,1,1,0.39999999999999997,0.25297518339104447,0.054,0.05332716865883217
doc_13639330,clean,1,1,0.19999999999999998,0.5057499723253392,0.054,0.05330604708309075
doc_1148122,clean,1,1,0.19999999999999998,0.497728393303908,0.054,0.0524605726542319
doc_1759213,clean,1,1,0.19999999999999998,0.49497032875877356,0.054,0.05216987265117473
doc_13949015,clean,1,1,0.39999999999999997,0.24540340882462278,0.054,0.051731038580230475
doc_18374364,clean,1,1,0.19999999999999998,0.4901029596980551,0.054,0.05165685195217501
doc_46193388,clean,1,1,0.19999999999999998,0.4852249265503067,0.054,0.05114270725840232
doc_4883040,clean,1,1,0.19999999999999998,0.48287777240262825,0.054,0.050895317211237016
doc_49556906,clean,1,1,0.19999999999999998,0.482853978922981,0.054,0.050892809378482194
doc_5476778,clean,1,1,0.19999999999999998,0.48158415838105206,0.054,0.05075897029336288
doc_14311986,clean,1,1,0.39999999999999997,0.2397760751151986,0.054,0.050544796634283864
doc_471921,clean,1,1,0.19999999999999998,0.4769515820100195,0.054,0.05027069674385605
doc_86129154,clean,1,1,0.39999999999999997,0.23808861805815304,0.054,0.05018908068665866
doc_3391547,clean,1,1,0.39999999999999997,0.23751577441845043,0.054,0.05006832524740935
